SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Island,Group,Ocean
47.166783672650695,3.450005014542173,15.284324541169392,12.1251629726206,0.24069802427038414,5.1248621000902626,10.761207501755091,3.0287834720690006,2.417009327048441,0.4011633737839736,Jan Mayen,Jan Mayen,Atlantic
47.20603015075376,3.618090452261306,15.045226130653264,11.778894472361808,0.2211055276381909,5.326633165829145,10.73366834170854,3.2763819095477382,2.2110552763819094,0.5829145728643215,Jan Mayen,Jan Mayen,Atlantic
49.15237031773424,3.2991574459445743,15.40960308598112,11.166379047812404,0.21317632727641864,4.628971678002233,8.192061719622373,3.8473251446553647,2.771292254593442,1.3196629783778298,Jan Mayen,Jan Mayen,Atlantic
48.277608915906775,4.417426545086119,13.049645390070921,14.903748733535965,0.2228976697061803,5.0050658561296855,9.665653495440726,3.181357649442755,0.8004052684903747,0.47619047619047605,Jan Mayen,Jan Mayen,Atlantic
48.72415532022189,4.346949067070096,12.960161371659105,14.704992435703481,0.22188603126575895,4.992435703479577,9.450327786182552,3.2375189107413016,0.9178013111447303,0.4437720625315179,Jan Mayen,Jan Mayen,Atlantic
46.27574327143147,2.8771440381803046,14.29518069319655,10.798474872221103,0.17101905122050765,7.544958142081219,13.178526888168529,2.4143866054659897,1.9113893959939086,0.5331770420404062,Jan Mayen,Jan Mayen,Atlantic
46.57799143740752,2.969839401994754,14.99061793387828,11.379588184693947,0.1515224184691201,6.060896738764804,12.42483831446785,2.5758811139750417,2.222328804213762,0.6464956521349124,Jan Mayen,Jan Mayen,Atlantic
47.07201080051576,2.4349333768886665,14.559082971355055,11.160293846547505,0.2121726179031618,8.305042472209479,11.548252488729236,2.4955541248609987,1.778208607188404,0.4344486938017123,Jan Mayen,Jan Mayen,Atlantic
47.20148548400425,2.8754229681375394,15.875574697322753,11.327625510744474,0.17212038893781045,5.366106243355267,11.137201637152442,3.239913203535256,1.9236984645990578,0.8808514022111475,Jan Mayen,Jan Mayen,Atlantic
46.83357390820502,2.216258606109939,15.322406090423712,12.397341642127142,0.22162586061099382,6.05441555578215,11.161884252590054,2.699805938352107,2.5587712997814744,0.5339168460173943,Jan Mayen,Jan Mayen,Atlantic
46.53330423990225,2.943737289959034,15.588656920367255,11.546258201368424,0.16185497126922524,5.057967852163289,11.329847988845765,3.5405774965143015,2.5289839260816445,0.7688111135288198,Jan Mayen,Jan Mayen,Atlantic
49.74199124230759,2.7393848183655933,14.230701280700675,11.00020720626196,0.2215678897207465,5.468698369016606,9.325993903700512,3.5048011646736263,3.202663133236245,0.5639909920164456,Jan Mayen,Jan Mayen,Atlantic
49.587770776040784,2.872033706348251,15.444712728544093,10.555229991454999,0.21088359382277366,4.719775671271602,9.037868306690301,4.016830358529023,3.1130435278599924,0.44185133943819244,Jan Mayen,Jan Mayen,Atlantic
46.970562267611555,2.584238972815078,13.900379162368603,11.732087584784995,0.22208303672629578,8.085841473534677,11.063773102364554,2.4933868214270483,2.483292137939489,0.4643554404277094,Jan Mayen,Jan Mayen,Atlantic
46.335720199640065,3.208090360001207,15.737801766043654,11.616101748520217,0.20176668930825198,5.245933922014552,11.248492928935049,3.510740393963584,2.300140258114072,0.5952117334593433,Jan Mayen,Jan Mayen,Atlantic
46.96074723746516,2.1373420334566755,15.143726729941848,13.4427124365531,0.21272124503597245,4.872329469633464,11.35526265168215,2.714728269982887,2.6944691037889847,0.46596082245974924,Jan Mayen,Jan Mayen,Atlantic
47.890136035409746,3.3170220538210122,16.030592904484525,11.035250447061982,0.20164267804383051,5.313284566454934,9.870409090245502,3.206118580896905,2.631436948471988,0.5041066951095763,Jan Mayen,Jan Mayen,Atlantic
47.61502086351587,3.335060533056386,16.273488143226945,11.01817409092327,0.20090726102749315,5.504858952153312,9.573230987960049,3.3852873483132595,2.601749030306036,0.4922227895173582,Jan Mayen,Jan Mayen,Atlantic
47.331880649143386,3.3172771053245795,16.080703041055123,11.07067808805174,0.20227299422710848,5.613075589802261,9.779899270880696,3.377959003592712,2.7003444729318984,0.5259097849904821,Jan Mayen,Jan Mayen,Atlantic
48.11393766153324,3.133934979206341,15.368334994184943,10.773255063173298,0.2008932678978424,6.147333997673977,10.104931375261472,3.123890315811449,2.5513445023025985,0.48214384295482166,Jan Mayen,Jan Mayen,Atlantic
47.716267204082506,2.3177912263862672,12.002127611417585,9.918540118839807,0.1713150036894198,10.802922585591647,12.798238510915477,2.2472497542788594,1.6426085647867894,0.3829394200116442,Jan Mayen,Jan Mayen,Atlantic
46.55338183187897,2.382732231395096,13.765784950286793,10.837759441996948,0.170195159385364,10.11159476348339,10.632191721603327,2.6129962705635297,2.4628240711058553,0.4705395583007122,Jan Mayen,Jan Mayen,Atlantic
48.03124354627814,2.3481941289291535,12.503371335856533,10.097710492426677,0.18297616589058338,9.738398162398827,12.57452873370287,2.4295168693249685,1.6467854930152508,0.4472750721769816,Jan Mayen,Jan Mayen,Atlantic
47.17995965201905,2.8047534400351024,14.194055801891931,10.838891536598396,0.19032255485952482,8.444311249819968,11.479455151000813,2.64448181489024,1.632767181163292,0.5910016177216824,Jan Mayen,Jan Mayen,Atlantic
48.09215696805149,2.9881528492701452,15.131925539738377,10.03345865934802,0.1911612933876524,6.871745441250873,10.845888119573118,2.877480521519399,2.314057762061055,0.6539728457998635,Jan Mayen,Jan Mayen,Atlantic
