Sample ID,Group,Island,Ocean,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U
41140,Samoa,Tutuila,Pacific,-14.3,-170.7,45.19072771,2.819088217,9.445819986,12.27588242,0.154811668,16.65507081,10.21679734,2.046336156,0.81099734,0.297934263,23.26100395,367.050083,143.9509365,23.75864169,204.5230369,19.74635448,43.11138946,24.28713967,5.97279651,1.566988014,0.227588868,3.718077011,1.510562986,2.17209049,0.484127196
41141,Samoa,Tutuila,Pacific,-14.3,-170.7,45.38598931,2.7898787,9.786403019,12.08253752,0.156666496,16.39775101,10.06864664,2.112819054,0.823445304,0.309505959,23.10297588,369.8714283,146.7361453,22.59029486,199.6353801,19.34015208,42.01220187,24.37540847,6.052586261,1.643455688,0.233823257,3.837485022,1.56189337,2.099034211,0.477602085
41142,Samoa,Tutuila,Pacific,-14.3,-170.7,44.37309421,3.265634327,9.409580713,12.21586152,0.160444025,16.57611816,9.913303247,2.166916018,1.420655811,0.376233461,43.63906048,464.7644947,176.2018528,32.15654206,367.7107527,27.82572187,59.50437889,31.0916282,7.01744008,1.35962984,0.188138062,4.424535722,2.167817823,2.89271192,0.640338452
41144,Samoa,Tutuila,Pacific,-14.3,-170.7,44.72739659,3.33715552,9.492986415,12.27091516,0.157689379,16.64957266,9.936114682,2.27117459,0.715984995,0.329072795,19.62144793,439.288166,166.6999985,27.50834086,348.0243088,23.09232142,49.79758125,27.51941922,6.582858963,1.432793407,0.202377481,4.452465611,2.065154114,2.530516178,0.554496785
41145,Samoa,Tutuila,Pacific,-14.3,-170.7,45.16105554,3.166947734,9.411534182,12.17010837,0.157176322,16.51481717,9.710675199,1.941460873,1.322547743,0.334065344,37.96783844,418.3282172,164.4923418,27.1697505,331.138424,23.0833424,49.21658432,27.20493643,6.44165013,1.381713723,0.198575685,4.29659615,2.149573117,2.506705431,0.539039911
41146,Samoa,Tutuila,Pacific,-14.3,-170.7,45.13412665,3.117345983,9.281191823,12.19151575,0.155166934,16.54390201,9.673020586,2.142841068,1.311457991,0.33793711,38.00482795,420.4376464,166.3434723,28.16623466,342.2525763,23.77611288,50.49223016,27.61178161,6.570623212,1.423527875,0.202105182,4.35115139,2.194540684,2.586311465,0.527808927
41147,Samoa,Tutuila,Pacific,-14.3,-170.7,45.14541955,3.185661184,9.548706185,11.97767454,0.15891498,16.24928796,9.705129712,2.194324172,1.371266098,0.349619759,40.66465007,430.094059,169.3366535,28.61912714,348.3111228,24.53062166,51.69840593,28.31892982,6.704742635,1.47456051,0.211693564,4.421602089,2.255550063,2.657988715,0.658841125
41148,Samoa,Tutuila,Pacific,-14.3,-170.7,45.04097161,3.084244999,9.226158741,12.22088672,0.159145321,16.58934267,9.794644726,2.131212815,1.310461783,0.332582939,38.67489259,416.5459825,163.1653741,27.75700592,338.467082,23.57076304,49.95074228,27.33974725,6.515677417,1.433653323,0.196861407,4.294174367,2.167531142,2.566065838,0.831257305
41149,Samoa,Tutuila,Pacific,-14.3,-170.7,45.12067464,3.200650716,9.552963408,11.92495919,0.160409093,16.18536658,9.836576741,2.20554114,1.35216587,0.347822056,39.03529346,425.5609576,165.8374809,28.27165587,348.0734461,24.23021968,51.54879341,28.24510062,6.635616265,1.465191922,0.197475982,4.362775734,1.972571843,2.64314414,0.626023983
41150,Samoa,Tutuila,Pacific,-14.3,-170.7,45.15014683,3.182793499,9.529847257,11.96065379,0.160137714,16.23502169,9.786517071,2.201116027,1.338497549,0.344028446,38.28569898,421.4353863,165.0322012,28.34343108,338.6455427,24.00844003,51.15971682,27.81205741,6.511733174,1.458589603,0.211044773,4.34009858,1.920878711,2.630159989,0.606318321
41179,Samoa,Tutuila,Pacific,-14.3,-170.7,47.6480511,2.705375428,10.0151329,11.51984433,0.141327281,15.62898222,8.469199156,2.205688859,1.053102733,0.507120841,22.87973027,409.3035184,254.3222382,28.17569216,197.7208646,26.89673439,61.90440092,37.28628082,9.103791602,1.828026841,0.244800387,6.186332173,2.248876183,2.943281043,0.706980592
41205,Samoa,Tutuila,Pacific,-14.3,-170.7,45.04570314,3.446791331,9.002003156,12.54479223,0.149412161,17.02758877,9.500659569,1.773844561,1.062032168,0.336775006,28.15528419,420.232649,217.0733075,39.12768377,239.7900766,32.52405149,69.62337522,35.21442841,7.658152392,1.304640933,0.175053858,5.447561694,2.551481962,4.281481614,0.819894151
