Group,Island,Ocean,Sample ID,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U,ol added (%),cpx added (%)
Hawaii,Hawaii,Pacific,14794,19.74,-155.05,43.96777110303502,2.8454228486076887,10.293646394164133,13.381009389369828,0.14751454491652555,18.15681982704688,8.267510886496941,1.9177365210042552,0.5875586237102376,0.3427425304976402,9.636367930588449,418.94648777038043,203.1537639895721,20.228195913458503,170.49649549101258,15.916916150135107,40.79526048699945,26.943629297612826,6.794317374096081,1.7006052889107663,0.23549494548038966,4.93930152696192,1.1125963156101994,1.3545087222861154,0.4193703054037031,41.658360776484564,8.33167215529691
Hawaii,Hawaii,Pacific,15272,19.7,-155.9,46.38608068480993,1.629226888883636,11.10502791158942,12.20299492406558,0.1567298444041193,16.567950577440282,8.94381429338283,2.114925115605024,0.631561916489024,0.1878491854172482,15.62678006540335,334.71613391622384,97.67910865417441,16.343921283261334,207.8954533429292,12.575878854629421,28.0641351305663,15.305264998727148,3.51131095631179,1.3073093908257165,0.18415684432291143,2.4106132831154663,1.4294380689447816,1.0328451688142997,0.3042291708090531,22.59774192287632,4.5195483845752635
Hawaii,Hawaii,Pacific,15273,19.7,-155.9,46.00323563650951,1.710306616893139,10.930949530421746,12.380745303032452,0.15470358130196918,16.800034634550254,8.872362781488507,2.1783851377464756,0.6752069855484023,0.21119846408432533,17.358718085149835,395.50461309674546,105.85186285968055,17.80426308635821,219.86495522617915,12.945678275091634,30.137140112477404,16.905218046905844,3.710903064459275,1.3619234483337566,0.19662538926606224,2.549979162723146,2.973240292205891,1.1910364239283233,0.35712766278144586,27.91627531456283,5.583255062912565
Hawaii,Hawaii,Pacific,15274,19.7,-155.9,46.21288796422405,1.767483807234468,10.768927470824615,12.449202480391756,0.14337791925281282,16.897702044853276,8.724058388304625,2.088760626359337,0.6500255715090578,0.21938363038430794,15.016070427823312,352.08546828758915,110.07811934419749,18.364985242218168,212.5104032509821,12.889694049338633,29.44542666516758,16.760376574691524,3.7905626002890376,1.3443014109927134,0.19163173059226118,2.5909498444050145,5.422146099231705,1.1114050168637672,0.2994260724916255,33.67717931718894,6.735435863437786
Hawaii,Hawaii,Pacific,16999,19.01,-155.12,46.19974358141305,2.4048680934656526,11.487342929705028,11.867096055565716,0.12607155139601092,16.100886271650353,8.954074825614363,2.2059929081705287,0.3210979528412013,0.2599364380143055,7.477359284013622,367.2474176802217,155.38878533513494,16.358909330280127,102.18262811476156,12.9015792505234,32.230234010901746,21.164041784232808,5.338158010915366,1.9102406966115555,0.2723700698998721,4.041127429867708,1.1169457001261105,0.968928627093589,0.29519631342804065,29.315271215714354,5.863054243142869
Hawaii,Hawaii,Pacific,23551,19.5692,-155.94233,46.04583213036471,1.6285682462453828,11.056293956761332,12.197307821829941,0.15355316848184172,16.55578323703433,9.21244215349092,2.219728313819444,0.6485712447718198,0.20818336251934963,15.357410586517986,343.10860208239126,100.41899166315068,16.71315809259317,199.02401835043497,12.014869870224068,26.94825883911137,14.334767038670423,3.2834406709099664,1.17480951033341,0.17407491078914053,2.2372290228540237,1.1064302369864685,1.151064044308846,0.3165218900421868,22.756717997308463,4.551343599461691
Hawaii,Hawaii,Pacific,23556,19.553,-155.93588,46.357603723345946,1.7975048828052402,10.698412745043099,12.20516279275557,0.15143002247141873,16.569158001272864,8.88585775354305,2.2992045093828883,0.7261995272145567,0.22644931493787257,16.604658743030793,377.1696809611888,108.1756891517715,18.444390196577608,233.49837163684907,14.39917645514146,32.466996754836934,16.583255488058356,3.7459319151368327,1.3297814004739559,0.1955377772761094,2.5271078169285395,3.453547794810915,1.221360141601849,0.3517860411782212,27.41690134265873,5.483380268531744
Hawaii,Hawaii,Pacific,23561,19.77888,-156.01565,45.78043550196186,1.9217150162000023,10.777455657874661,12.005904765454297,0.16292055709284514,16.28751126799389,9.859963743528256,2.1966042034120568,0.7008785755729201,0.22497336993698708,15.600290719783725,370.91123072356663,109.72380315035483,21.022738447144334,227.10153606000222,14.003946894693703,31.093111564287227,16.53102920839661,3.7182781813198877,1.2044553302131835,0.17056243785734262,2.587450941349777,1.1296046474578465,1.237259900003822,0.3381115158486461,16.28079637433571,3.2561592748671417
Hawaii,Hawaii,Pacific,23562,19.74972,-155.81035,46.251525770027996,1.7277481015606142,10.847990649704931,12.218466797619323,0.15519766634643226,16.57565601692041,9.099633921150666,2.134209914299261,0.7098687437583384,0.20389846895186287,15.390778821348702,334.5531550095669,115.51196671597702,18.538273773023974,201.77141669136145,13.989600415927079,31.265481174224643,16.43479538473482,3.6855813621418756,1.347679879056716,0.19681366086465155,2.67588398187484,1.1823017624048393,1.170231082600859,0.3255368865418183,30.33342897751169,6.0666857955023366
Hawaii,Hawaii,Pacific,23563,19.74733,-155.80987,46.26148569397852,1.7094461738175488,10.955849778237596,12.149943284696688,0.1565430890949145,16.489201811686783,9.161921581376134,2.1382978466854445,0.6961438250679699,0.20654816787730937,15.391249192422055,336.36441709431153,111.83532691679376,18.28126607773165,195.64863868275572,13.280575496387467,29.58461520483362,15.596267260544398,3.521471189207987,1.2332540726005599,0.18772550450135433,2.590600687173419,1.1844262594905097,1.1572439489301865,0.33039722341549005,28.529680141064475,5.705936028212894
